Especie,Autor,Estado,Usos
"Aphelandra aurantiaca","(Scheidw.) Lindl.",VER,MEDI
"Aphelandra scabra","(Vahl) Sm.","CHP OAX ROO VER YUC","COME FORR MEDI ORNA"
"Avicennia germinans","(L.) L.","NAY OAX ROO TAB VER YUC","CERC COMB COME CONS MEDI"
"Barleria oenotheroides",Dum.Cours.,OAX,MEDI
"Bravaisia berlandieriana","(Nees) T.F.Daniel",CAM,"CERC MELI"
"Buceragenia hirsuta",,JAL,"COME FORR"
"Carlowrightia neesiana","(Schauer) T.F.Daniel","OAX PUE","ASEO FORR"
"Dianthera breviflora","(Nees) Hemsl.","CHP OAX",MEDI
"Dianthera candelariae","(Oerst.) Hemsl.","HID VER","FORR MEDI"
"Dianthera candicans","(Nees) Benth. & Hook.f. ex Hemsl.","CHH PUE","COME MEDI"
"Dianthera comata",L.,PUE,"COME MEDI"
"Dianthera pectoralis","(Jacq.) J.F.Gmel.",CHP,ORNA
"Dicliptera sexangularis","(L.) Juss.","SLP YUC",MEDI
"Dicliptera unguiculata",Nees,CHP,MEDI
"Dyschoriste capitata","(Oerst.) Kuntze",CHP,MEDI
"Dyschoriste hirsutissima","(Nees) Kuntze",OAX,MEDI
"Dyschoriste ovata","(Cav.) Kuntze",CHP,MEDI
"Elytraria bromoides",Oerst.,SLP,MEDI
"Elytraria imbricata","(Vahl) Pers.","BCS CHH JAL MIC OAX ROO YUC","CERE MEDI"
"Elytraria mexicana","Fryxell & S.D.Koch",MIC,MEDI
"Graptophyllum pictum","(L.) Griff.",YUC,ORNA
"Henrya insularis",Nees,NAY,MEDI
"Henrya scorpioides","(L.) Nees",SLP,MEDI
"Hypoestes phyllostachya",Baker,VER,ORNA
"Justicia aurea",Schltdl.,"CHP PUE VER","CERC ORNA"
"Justicia bartlettii","(Leonard) D.N.Gibson",CHP,MEDI
"Justicia brandegeeana","Wassh. & L.B.Sm.","SLP VER YUC","MEDI ORNA"
"Justicia fimbriata","(Nees) V.A.W.Graham",CHP,"MEDI ORNA"
"Justicia floribunda","(J.J.Veitch) Wassh.",MIC,ORNA
"Justicia gonzalezii","(Greenm.) Henrickson & Hiriart",OAX,MEDI
"Justicia leonardii",Wassh.,"QUE SLP",MEDI
"Justicia pacifica","(Oerst.) Hemsl.",DUR,FORR
"Justicia palmeri",Rose,BCS,FORR
"Justicia spicigera",Schltdl.,"CHP GRO HID MEX MIC MOR OAX PUE ROO SLP VER YUC","CERC COME MEDI MELI ORNA TEXTIL UTEN"
"Justicia straminea",D.N.Gibson,SLP,MEDI
"Lepidagathis alopecuroidea","(Vahl) R.Br. ex Griseb.",VER,MEDI
"Louteridium mexicanum","(Baill.) Standl.","CHP OAX","MEDI ORNA"
"Odontonema albiflorum",Leonard,CHP,MEDI
"Odontonema callistachyum","(Schltdl. & Cham.) Kuntze","CHP OAX VER","CERC CERE MEDI"
"Odontonema glabrum",Brandegee,CHP,ORNA
"Odontonema tubaeforme","(Bertol.) Kuntze",CHP,MEDI
"Poikilacanthus skutchii",D.N.Gibson,VER,ASEO
"Pseuderanthemum alatum","(Nees) Radlk.",VER,ASEO
"Pseuderanthemum cuspidatum","(Nees) Radlk.",CHP,MEDI
"Pseuderanthemum verapazense",Donn.Sm.,CHP,MEDI
"Ruellia aurantiaca",Leonard,QUE,ORNA
"Ruellia blechum",L.,"CAM CHP NAY OAX SLP VER YUC",MEDI
"Ruellia ciliatiflora",Hook.,"SLP YUC","CERE MEDI"
"Ruellia foetida","Humb. & Bonpl. ex Willd.","GRO OAX","COME MEDI UTEN"
"Ruellia hirsutoglandulosa","(Oerst.) Hemsl.",PUE,FORR
"Ruellia hookeriana","(Nees) Hemsl.",CHP,MEDI
"Ruellia inundata",Kunth,YUC,ORNA
"Ruellia jussieuoides","Schltdl. & Cham.",VER,MEDI
"Ruellia macrosiphon",Kurz,SLP,MEDI
"Ruellia matudae",Leonard,CHP,MEDI
"Ruellia megasphaera",Lindau,OAX,MEDI
"Ruellia palmeri",,OAX,CERE
"Ruellia simplex",C.Wright,"MEX MIC MOR","COME MEDI ORNA"
"Ruellia tuberosa",L.,YUC,MEDI
"Sanchezia oblonga","Ruiz & Pav.",VER,ORNA
"Sanchezia speciosa",Leonard,PUE,ORNA
"Tetramerium diffusum",Rose,MIC,MEDI
"Tetramerium nervosum",Nees,"MIC SLP SON","FORR MEDI"
"Thunbergia alata","Bojer ex Sims","MOR OAX VER","MEDI ORNA"
"Thunbergia fragrans",Roxb.,"GRO PUE SLP TAB VER","MEDI ORNA"
"Thunbergia grandiflora",Roxb.,"CHP VER YUC","MEDI ORNA"
